module,code,en_MZ,pt_MZ
hcm-common,CORE_COMMON_CONTINUE,Continue,Prosseguir
hcm-common,CORE_COMMON_AGE,Age,Era
hcm-common,CORE_COMMON_GENDER,Gender,Gênero
hcm-common,CORE_COMMON_MOBILE_NUMBER,Mobile Number,Número de celular
hcm-common,CORE_COMMON_SUBMIT,Submit,Enviar
hcm-common,CORE_COMMON_CANCEL,Cancel,Cancelar
hcm-login,LOGIN_LABEL_TEXT,Login,Conecte-se
hcm-login,USER_ID_PLACEHOLDER,User ID,ID do usuário
hcm-login,PASSWORD_PLACEHOLDER,Password,Senha
hcm-login,LOGIN_ACTION_LABEL,Login,Conecte-se
hcm-forgot-password,FORGOT_PASSWORD_LABEL_TEXT,Forgot Password,Esqueceu a senha
hcm-forgot-password,FORGOT_PASSWORD_CONTENT_TEXT,Please contact your administrator if you have forgotten your password,Entre em contato com seu administrador se você esqueceu sua senha
hcm-forgot-password,PRIMARY_ACTION_LABEL,OK,OK
hcm-forgot-password,FORGOT_PASSWORD_ACTION_LABEL,Forgot Password?,Esqueceu a senha?
hcm-home,HOME_BENEFICIARY_LABEL,Beneficiaries,Beneficiários
hcm-home,HOME_VIEW_REPORTS_LABEL,View Reports,Ver relatórios
hcm-home,HOME_SYNC_DATA_LABEL,Sync Data,Dados de sincronização
hcm-home,HOME_CALL_BACK_LABEL,Call Supervisor,Ligue para o supervisor
hcm-home,HOME_FILE_COMPLAINT,File Complaint,Reclamação do arquivo
hcm-home,PROGRESS_INDICATOR_TITLE,more to reach target,mais para atingir o alvo
hcm-home,PROGRESS_INDICATOR_PREFIX_LABEL,completed,concluído
hcm-beneficiary,BENEFICIARY_STATISTICS_LABEL_TEXT,Search Households,Pesquise famílias
hcm-beneficiary,NO_OF_HOUSEHOLDS_REGISTERED,"No. of Households
Registered","No. de famílias
Registrado"
hcm-beneficiary,NO_OF_RESOURCES_DELIVERED,"No. of Bednets
Delivered","No. de redes de cama
Entregue"
hcm-beneficiary,BENEFICIARY_SEARCH_HINT_TEXT,Enter the name of household head,Digite o nome do chefe da família
hcm-beneficiary,BENEFICIARY_INFO_DESCRIPTION,Click on Register New Household button to add details.,Clique em Registrar um novo botão doméstico para adicionar detalhes.
hcm-beneficiary,BENEFICIARY_INFO_TITLE,Match not found!,Match não encontrado!
hcm-beneficiary,BENEFICIARY_ADD_ACTION_LABEL,Register New Household,Registrar uma nova família
hcm-beneficiary,ICON_LABEL,Open,Abrir
hcm-beneficiary,INDIVIDUAL_LABEL_TEXT,Individual Details,Detalhes individuais
hcm-beneficiary,INDIVIDUAL_NAME_LABEL_TEXT,Name of the Individual*,Nome do indivíduo*
hcm-beneficiary,HEAD_OF_HOUSEHOLD_LABEL_TEXT,Head of household,Chefe de família
hcm-beneficiary,ID_TYPE_LABEL_TEXT,ID Type,Tipo de identificação
hcm-beneficiary,ID_NUMBER_LABEL_TEXT,ID Number*,Número de identidade*
hcm-beneficiary,ID_NUMBER_SUGGESTION_TEXT,Enter 10 digit ID number,Insira o número de identificação de 10 dígitos
hcm-beneficiary,DOB_LABEL_TEXT,Date of Birth,Data de nascimento
hcm-common,AGE_LABEL_TEXT,Age,Era
hcm-common,SEPARATOR_LABEL_TEXT,(or),(ou)
hcm-common,GENDER_LABEL_TEXT,Gender,Gênero
hcm-common,MOBILE_NUMBER_LABEL_TEXT,Mobile Number,Número de celular
hcm-common,SUBMIT_LABEL_TEXT,Submit,Enviar
hcm-household,HOUSEHOLD_LOCATION_LABEL_TEXT,Household Location,Localização da família
hcm-household,ADMINISTRATION_AREA_FORM_LABEL,Administrative Area,Área administrativa
hcm-household,HOUSEHOLD_ADDRESS_LINE_1_FORM_LABEL,Address Line 1,Endereço Linha 1
hcm-household,LANDMARK_FORM_LABEL,Landmark,Marco
hcm-household,HOUSEHOLD_ADDRESS_LINE_2_FORM_LABEL,Address Line 2,endereço linha 2
hcm-household,POSTAL_CODE_FORM_LABEL,Postal Code,Código postal
hcm-household,HOUSEHOLD_LOCATION_ACTION_LABEL,Next,Próximo
hcm-acknowledgement,ACKNOWLEDGEMENT_SUCCESS_ACTION_LABEL_TEXT,Data recorded successfully,Dados registrados com sucesso
hcm-acknowledgement,ACKNOWLEDGEMENT_SUCCESS_DESCRIPTION_TEXT,The data has been recorded successfully. ,Os dados foram registrados com sucesso.
hcm-acknowledgement,ACKNOWLEDGEMENT_SUCCESS_LABEL_TEXT,Back to Search,De volta à pesquisa
hcm-household,HOUSEHOLD_DETAILS_LABEL,Household Details,Detalhes da família
hcm-household,HOUSEHOLD_ACTION_LABEL,Next,Próximo
hcm-household,HOUSEHOLD_DETAILS_DATE_OF_REGISTRATION_LABEL,Date of Registration,Data de registro
hcm-household,NO_OF_MEMBERS_COUNT_LABEL,Number of members living in the household* ,Número de membros que vivem na casa*
hcm-household,HOUSEHOLD_OVER_VIEW_LABEL,Household,Doméstico
hcm-household,HOUSEHOLD_OVER_VIEW_EDIT_ICON_LABEL,Edit household,Editar família
hcm-household,HOUSEHOLD_OVER_VIEW_DELETE_ICON_LABEL,Delete Household ,Excluir família
hcm-household,HOUSEHOLD_OVER_VIEW_EDIT_ICON_LABEL_TEXT,Edit,Editar
hcm-household,HOUSEHOLD_OVER_VIEW_ACTION_CARD_TITLE,"Do you want to delete this
beneficiary?","Você quer excluir isso
beneficiário?"
hcm-household,HOUSEHOLD_OVER_VIEW_PRIMARY_ACTION_LABEL,Delete,Excluir
hcm-household,HOUSEHOLD_OVER_VIEW_SECONDARY_ACTION_LABEL,Cancel,Cancelar
hcm-household,HOUSEHOLD_OVER_VIEW_DELIVERED_ICON_LABEL,Delivered,Entregue
hcm-household,HOUSEHOLD_OVER_VIEW_NOT_DELIVERED_ICON_LABEL,Not Delivered,Não entregue
hcm-household,HOUSEHOLD_OVER_VIEW_HOUSEHOLD_HEAD_LABEL,"Household
Head","Doméstico
Cabeça"
hcm-household,HOUSEHOLD_OVER_VIEW_HOUSEHOLD_HEAD_NAME_LABEL,Household Head Name:,Nome da cabeça da família:
hcm-household,HOUSEHOLD_OVER_VIEW_ACTION_TEXT,Deliver Intervention,Entregar intervenção
hcm-household,HOUSEHOLD_OVER_VIEW__ADD_ACTION_TEXT,Add Member,Adicionar membro
hcm-member,MEMBER_CARD_ASSIGN_AS_HEAD,Assign as household head,Designe como chefe de família
hcm-member,MEMBER_CARD_EDIT_INDIVIDUALDETAILS,Edit,Editar
hcm-member,MEMBER_CARD_EDIT_INDIVIDUAL_ACTION_TEXT,Edit  Individual Details,Edite detalhes individuais
hcm-member,MEMBER_CARD_DELIVER_INTERVENTION_SUBMIT_LABEL,Submit,Enviar
hcm-member,MEMBER_CARD_DELIVER_DETAILS_UPDATE_LABEL,Update Delivery Details,Atualizar detalhes de entrega
hcm-member,MEMBER_CARD_DELIVER_DETAILS_YEAR_TEXT, years, anos
hcm-delivery,DELIVER_INTERVENTION_LABEL,Deliver Intervention,Entregar intervenção
hcm-delivery,DELIVER_INTERVENTION_DATE_OF_REGISTRATION_LABEL,Date of Registration:,Data de registro:
hcm-delivery,DELIVER_INTERVENTION_RESOURCE_DELIVERED_LABEL,Resource Delivered*,Recurso entregue*
hcm-delivery,DELIVER_INTERVENTION_QUANTITY_DISTRIBUTED_LABEL,Quantity Distributed*,Quantidade distribuída*
hcm-delivery,DELIVER_INTERVENTION_DELIVERY_COMMENT_LABEL,Delivery Comment,Comentário de entrega
hcm-delivery,DELIVER_INTERVENTION_ID_TYPE_TEXT,ID Type:,Tipo de identificação:
hcm-delivery,DELIVER_INTERVENTION_ID_NUMBER_TEXT,ID Number:,Número de identidade:
hcm-delivery,DELIVER_INTERVENTION_MEMBER_COUNT_TEXT,Member Count:,Contagem de membro:
hcm-delivery,DELIVER_INTERVENTION_NO_OF_RESOURCES_FOR_DELIVERY,Number Of Resources For Delivery:,Número de recursos para entrega:
hcm-delivery,DELIVER_INTERVENTION_DIALOG_TITLE,Ready to Submit?,Pronto para enviar?
hcm-delivery,DELIVER_INTERVENTION_DIALOG_CONTENT,Make sure you review all details before clicking on the Submit button. Click on the Cancel button to go back to the previous page.,Certifique -se de revisar todos os detalhes antes de clicar no botão Enviar. Clique no botão Cancelar para voltar para a página anterior.